#装備ステータス欄,,,,,,,,,,,,,
#背景,,,,,,,,,,,,,
JSGAMECLGCommonWindow,キャラステータス背景,SYS-Character-Status_Window,8200,TRUE,./data/img/common/window15x15.png,15,15,10,100,220,50,,
JSGAMECLGCommonWindow,キャラステータス背景下,SYS-Character-Status_Window2,8200,TRUE,./data/img/common/window15x15.png,15,15,10,180,270,50,,
#上半分,,,,,,,,,,,,,
JSGAMECLGCommonText,キャラ名,SYS-Character-Status_Name,8300,FALSE,85,113,ダミー,middle,textFront,textShadow,,75,13
JSGAMECLGCommonImage,キャラアイコン,SYS-Character-Status_Icon,8300,FALSE,dummy,0,0,15,105,,,5,5
JSGAMECLGCommonText,レベルラベル,SYS-Character-Status_Level-Label,8300,FALSE,85,151,Lv:,middle,textFront,textShadow,,75,51
JSGAMECLGCommonText,レベル,SYS-Character-Status_Level,8300,FALSE,107,151,ダミー,middle,textFront,textShadow,,22,0
JSGAMECLGCommonImage,タイプアイコン,SYS-Character-Status_Type-Icon,8310,FALSE,dummy,0,0,47,137,,,37,37
JSGAMECLGCommonText,クラス名（ジョブ）,SYS-Character-Status_Class-Name,8300,FALSE,85,132,ダミー,middle,textFront,textShadow,,0,32
#下半分,,,,,,,,,,,,,
#値部品,,,,,,,,,,,,,
JSGAMECLGCommonText,HP,SYS-Character-Status_HP,8300,TRUE,63,193,サン,middle,textFront,textShadow,,40,
JSGAMECLGCommonText,MP,SYS-Character-Status_MP,8300,TRUE,63,212,サン,middle,textFront,textShadow,,,
JSGAMECLGCommonText,CAP,SYS-Character-Status_CAP,8300,TRUE,63,231,サン,middle,textFront,textShadow,,,
JSGAMECLGCommonText,ATK,SYS-Character-Status_ATK,8300,TRUE,223,193,サン,middle,textFront,textShadow,,,
JSGAMECLGCommonText,DEF,SYS-Character-Status_DEF,8300,TRUE,223,212,サン,middle,textFront,textShadow,,,
JSGAMECLGCommonText,SPD,SYS-Character-Status_SPD,8300,TRUE,223,231,サン,middle,textFront,textShadow,,,
#ラベル部品,,,,,,,,,,,,,
JSGAMECLGCommonText,HPラベル,SYS-Character-Status_HP-Label,8300,TRUE,23,193,HP :,middle,textFront,textShadow,,13,13
JSGAMECLGCommonText,MPラベル,SYS-Character-Status_MP-Label,8300,TRUE,23,212,MP :,middle,textFront,textShadow,,,19
JSGAMECLGCommonText,CAPラベル,SYS-Character-Status_CAP-Label,8300,TRUE,23,231,CAP:,middle,textFront,textShadow,,,
JSGAMECLGCommonText,ATKラベル,SYS-Character-Status_ATK-Label,8300,TRUE,183,193,ATK:,middle,textFront,textShadow,,160,
JSGAMECLGCommonText,DEFラベル,SYS-Character-Status_DEF-Label,8300,TRUE,183,212,DEF:,middle,textFront,textShadow,,,
JSGAMECLGCommonText,SPDラベル,SYS-Character-Status_SPD-Label,8300,TRUE,183,231,SPD:,middle,textFront,textShadow,,,
